RECNO,GEOC_ID,HUC_08,GNIS_NAME,LENGTH,WIDE_WW,WIDE_BF,AREA_WW,AREA_BF,SPAWN,REAR,RT_FISHUSE,RS,GEO_COND,COND_HIST,COND_EX,COND_RP,oPBRC_CR
188,188,17060201,Challis Creek,1040.496269,7.3,12.1,7594.4,12587.9,1,1,Wandering_Gravel,WA,moderate,intact,moderate,good,Strategic - Long-Term Investment
189,189,17060201,Challis Creek,1021.347301,7.3,12.12,7456.3,12379.5,1,1,Wandering_Gravel,WA,moderate,intact,moderate,good,Straight Forward - Quick Return
190,190,17060201,Salmon River,1008.627428,15.58,24.4,15718,24616.1,1,1,Wandering_Gravel,WA,moderate,intact,moderate,good,Strategic - Long-Term Investment
191,191,17060201,Challis Creek,323.9657698,6.8,11.5,2202.8,3725.3,1,1,Wandering_Gravel,WA,moderate,intact,moderate,moderate,NA
203,203,17060203,Clear Creek,1036.476472,3.86,6.7,4000,6943,1,1,Conf_Floodplain,CF,good,intact,good,intact,Easiest - Low-Hanging Fruit
204,204,17060203,Clear Creek,1022.796914,3.9,6.78,3988.9,6934.5,1,1,Conf_Floodplain,CF,good,intact,good,intact,Easiest - Low-Hanging Fruit
205,205,17060203,Clear Creek,1042.530227,3.9,7.15,4064.7,7451.9,1,1,Conf_Floodplain,CF,good,intact,good,intact,Easiest - Low-Hanging Fruit
206,206,17060203,Clear Creek,1000.666966,4.1,7.42,4104,7427.3,1,1,Conf_Floodplain,CF,good,intact,good,intact,Easiest - Low-Hanging Fruit
207,207,17060203,Clear Creek,1031.908311,4.16,7.56,4292.1,7800.2,1,1,Conf_Floodplain,CF,good,intact,good,good,Straight Forward - Quick Return
208,208,17060203,Clear Creek,1003.797485,4.28,7.64,4297.4,7671.1,1,1,Conf_Floodplain,CF,good,intact,good,intact,Easiest - Low-Hanging Fruit
209,209,17060203,Clear Creek,901.9910121,4.4,7.9,3968.3,7124.9,1,1,Conf_Floodplain,CF,good,intact,good,intact,Easiest - Low-Hanging Fruit
210,210,17060203,Clear Creek,961.2679237,4.5,8,4329.8,7697.5,1,1,Conf_Floodplain,CF,good,intact,good,good,Straight Forward - Quick Return
211,211,17060203,Clear Creek,974.321771,4.5,8,4387.7,7800.4,1,1,Conf_Floodplain,CF,good,intact,good,good,Straight Forward - Quick Return
212,212,17060203,Clear Creek,1011.92254,4.58,8.07,4635.3,8167.4,1,1,Conf_Floodplain,CF,good,intact,good,intact,Easiest - Low-Hanging Fruit
213,213,17060203,Clear Creek,1004.507915,4.6,8.16,4622,8198.9,1,1,Conf_Floodplain,CF,good,intact,good,good,Straight Forward - Quick Return
214,214,17060203,Clear Creek,1006.892157,4.65,8.3,4683.1,8359.1,1,1,Conf_Floodplain,CF,good,intact,good,good,Straight Forward - Quick Return
215,215,17060203,Clear Creek,1013.069148,4.76,8.48,4822.9,8592,1,1,Conf_Floodplain,CF,good,intact,good,good,Straight Forward - Quick Return
216,216,17060203,Clear Creek,994.062936,4.8,8.62,4773.5,8572.4,1,1,Conf_Floodplain,CF,good,intact,good,good,Straight Forward - Quick Return
217,217,17060203,Clear Creek,961.0128393,4.86,8.52,4675,8195.7,1,1,Conf_Floodplain,CF,good,intact,good,intact,Easiest - Low-Hanging Fruit
218,218,17060203,Clear Creek,966.3592621,4.8,8.4,4642.6,8124.5,1,1,Conf_Floodplain,CF,good,intact,good,good,Straight Forward - Quick Return
219,219,17060203,Clear Creek,992.5055195,4.8,8.4,4766.2,8340.8,1,1,Conf_Floodplain,CF,good,intact,good,good,Straight Forward - Quick Return
220,220,17060203,Clear Creek,1008.527875,4.8,8.4,4841.9,8473.4,1,1,AlluvialFan,AF,good,intact,good,good,Straight Forward - Quick Return
252,252,17060203,Cow Creek,1040.510608,3.2,6.17,3329,6418.8,0,1,Conf_Floodplain,CF,moderate,intact,moderate,intact,Easiest - Low-Hanging Fruit
253,253,17060203,Cow Creek,1044.893167,3.1,6.2,3238.4,6476.8,0,1,Conf_Floodplain,CF,moderate,intact,moderate,intact,Easiest - Low-Hanging Fruit
254,254,17060203,Cow Creek,1037.531536,3.1,6.04,3215.9,6265.8,0,1,AlluvialFan,AF,poor,intact,poor,good,Straight Forward - Quick Return
255,255,17060201,Crooked Creek,970.707758,2.32,4.74,2253.4,4603.9,1,1,Wandering_Gravel,WA,poor,intact,poor,intact,Easiest - Low-Hanging Fruit
256,256,17060201,Crooked Creek,991.4484195,2.35,4.85,2330.8,4810.3,1,1,Wandering_Gravel,WA,poor,intact,poor,intact,Easiest - Low-Hanging Fruit
257,257,17060201,Crooked Creek,1023.511887,2.4,4.86,2456.5,4974.3,1,1,Wandering_Gravel,WA,poor,intact,poor,moderate,Strategic - Long-Term Investment
258,258,17060203,Dahlonega Creek,664.8880517,3.8,7.1,2528.5,4724.2,1,1,Wandering_Gravel,WA,poor,intact,poor,poor,NA
259,259,17060203,Dahlonega Creek,964.5998074,3.8,7.1,3668.8,6854.9,1,1,Wandering_Gravel,WA,poor,intact,poor,poor,NA
266,266,17060203,Dahlonega Creek,1023.355078,3.56,6.66,3643.1,6815.5,1,1,Wandering_Gravel,WA,poor,intact,poor,moderate,Strategic - Long-Term Investment
323,323,17060201,East Basin Creek,1028.681266,2.46,5.04,2530.5,5184.4,1,1,Conf_Floodplain,CF,good,intact,good,good,Straight Forward - Quick Return
324,324,17060201,East Basin Creek,998.0210527,2.46,5.16,2455.9,5151.4,1,1,Conf_Floodplain,CF,good,intact,good,intact,Strategic - Long-Term Investment
325,325,17060201,East Basin Creek,966.844492,2.52,5.22,2438.1,5050.4,1,1,Margin_Controlled,MC,good,intact,good,intact,Strategic - Long-Term Investment
326,326,17060201,East Basin Creek,962.0237683,2.6,5.25,2503.1,5054.4,1,1,Margin_Controlled,MC,good,intact,good,good,Straight Forward - Quick Return
327,327,17060201,East Basin Creek,971.0676237,2.58,5.24,2506.9,5091.6,1,1,Margin_Controlled,MC,good,intact,good,good,NA
328,328,17060201,East Basin Creek,951.2615795,2.6,5.2,2475.5,4950.9,1,1,Margin_Controlled,MC,good,intact,good,good,NA
329,329,17060201,East Fork Herd Creek,961.3658714,2.6,5.2,2501.4,5002.8,0,1,Planform_Controlled,PC,good,intact,good,intact,Easiest - Low-Hanging Fruit
330,330,17060201,East Fork Herd Creek,993.9965353,2.7,5.34,2684.9,5310,0,1,Planform_Controlled,PC,good,intact,good,intact,Strategic - Long-Term Investment
331,331,17060201,East Fork Herd Creek,1000.642161,2.86,5.52,2862.8,5525.4,0,1,Planform_Controlled,PC,good,intact,good,good,Straight Forward - Quick Return
332,332,17060201,East Fork Herd Creek,1028.605338,2.88,5.5,2962.6,5657.7,0,1,Planform_Controlled,PC,good,intact,good,intact,Easiest - Low-Hanging Fruit
339,339,17060201,East Fork Salmon River,313.1629542,5.1,8.1,1598,2538.1,1,1,Margin_Controlled,MC,intact,intact,intact,intact,Straight Forward - Quick Return
340,340,17060201,East Fork Salmon River,999.1173303,5.14,8.24,5137.2,8235.5,1,1,Margin_Controlled,MC,intact,intact,intact,intact,NA
341,341,17060201,East Fork Salmon River,977.7551363,5.22,8.34,5106.6,8158.8,1,1,Margin_Controlled,MC,intact,intact,intact,intact,Strategic - Long-Term Investment
342,342,17060201,East Fork Salmon River,983.7415757,5.3,8.47,5216.3,8336.3,1,1,Margin_Controlled,MC,intact,intact,intact,intact,Straight Forward - Quick Return
343,343,17060201,East Fork Salmon River,1000.024067,5.52,8.82,5521.9,8823.1,1,1,Margin_Controlled,MC,good,intact,good,good,NA
344,344,17060201,East Fork Salmon River,551.9224334,6.73,11.2,3717.1,6186,1,1,Margin_Controlled,MC,good,intact,good,intact,Easiest - Low-Hanging Fruit
345,345,17060201,East Fork Salmon River,993.9073493,6.7,11.23,6661.8,11166,1,1,Margin_Controlled,MC,good,intact,good,good,Straight Forward - Quick Return
346,346,17060201,East Fork Salmon River,959.6476002,6.74,11.32,6472.7,10871.1,1,1,Margin_Controlled,MC,good,intact,good,intact,Strategic - Long-Term Investment
347,347,17060201,East Fork Salmon River,974.8083329,6.8,11.4,6632.5,11119.3,1,1,Margin_Controlled,MC,good,intact,good,intact,Strategic - Long-Term Investment
348,348,17060201,East Fork Salmon River,982.9915583,6.9,11.42,6786,11231.4,1,1,Margin_Controlled,MC,good,intact,good,intact,Easiest - Low-Hanging Fruit
349,349,17060201,East Fork Salmon River,979.6280038,6.9,11.38,6763.1,11154.1,1,1,Margin_Controlled,MC,good,intact,good,good,Straight Forward - Quick Return
350,350,17060201,East Fork Salmon River,970.4503782,6.8,11.38,6603.2,11050.6,1,1,Margin_Controlled,MC,good,intact,good,intact,Strategic - Long-Term Investment
351,351,17060201,East Fork Salmon River,504.7107501,5.5,9.2,2776.8,4644.9,1,1,Margin_Controlled,MC,good,intact,good,intact,Strategic - Long-Term Investment
352,352,17060201,East Fork Salmon River,997.1050275,5.6,9.28,5585.8,9256.4,1,1,Margin_Controlled,MC,good,intact,good,intact,Strategic - Long-Term Investment
353,353,17060201,East Fork Salmon River,980.6269796,5.65,9.4,5543.4,9222.6,1,1,Margin_Controlled,MC,good,intact,good,intact,Strategic - Long-Term Investment
354,354,17060201,East Fork Salmon River,989.5922193,5.7,9.46,5643.1,9365.5,1,1,Margin_Controlled,MC,good,intact,good,good,Straight Forward - Quick Return
355,355,17060201,East Fork Salmon River,996.51174,5.76,9.52,5742,9490.2,1,1,Margin_Controlled,MC,good,intact,good,intact,Strategic - Long-Term Investment
356,356,17060201,East Fork Salmon River,967.9977956,5.8,9.6,5617.9,9298.7,1,1,Margin_Controlled,MC,good,intact,good,intact,Easiest - Low-Hanging Fruit
357,357,17060201,East Fork Salmon River,918.3174012,9,14.62,8272.1,13437.6,1,1,Margin_Controlled,MC,good,intact,good,good,NA
358,358,17060201,East Fork Salmon River,946.2582962,9,14.6,8524,13827.8,1,1,Margin_Controlled,MC,good,intact,good,good,NA
359,359,17060201,East Fork Salmon River,358.5371822,9,14.6,3228.6,5237.5,1,1,Wandering_Gravel,WA,good,intact,good,intact,Strategic - Long-Term Investment
360,360,17060201,East Fork Salmon River,970.6324421,9,14.6,8741.2,14180.2,1,1,Wandering_Gravel,WA,good,intact,good,good,Straight Forward - Quick Return
361,361,17060201,East Fork Salmon River,966.6270026,9,14.66,8705.5,14180.4,1,1,Wandering_Gravel,WA,good,intact,good,good,Straight Forward - Quick Return
362,362,17060201,East Fork Salmon River,873.6153848,7.2,11.96,6295,10456.7,1,1,Margin_Controlled,MC,good,intact,good,intact,Strategic - Long-Term Investment
363,363,17060201,East Fork Salmon River,1166.874336,9.44,15.34,11021.1,17909.3,1,1,Wandering_Gravel,WA,good,intact,good,good,NA
364,364,17060201,East Fork Salmon River,992.9254266,10.6,17,10529.3,16886.6,1,1,Wandering_Gravel,WA,good,intact,good,intact,Strategic - Long-Term Investment
365,365,17060201,East Fork Salmon River,995.1673857,10.6,16.98,10552.9,16904.5,1,1,Wandering_Gravel,WA,good,intact,good,good,NA
366,366,17060201,East Fork Salmon River,1007.691606,10.58,16.9,10664.1,17034.4,1,1,Wandering_Gravel,WA,good,intact,good,good,NA
367,367,17060201,East Fork Salmon River,999.7407956,10.5,16.9,10500.8,16901.4,1,1,Wandering_Gravel,WA,good,intact,good,good,Straight Forward - Quick Return
368,368,17060201,East Fork Salmon River,287.0518227,9.8,15.85,2814.8,4552.6,1,1,Margin_Controlled,MC,good,intact,good,intact,Strategic - Long-Term Investment
369,369,17060201,East Fork Salmon River,986.1157081,9.8,15.9,9668.6,15686.7,1,1,Margin_Controlled,MC,good,intact,good,intact,Strategic - Long-Term Investment
370,370,17060201,East Fork Salmon River,975.3382503,9.8,15.9,9564,15517,1,1,Margin_Controlled,MC,good,intact,good,intact,Easiest - Low-Hanging Fruit
371,371,17060201,East Fork Salmon River,857.3744297,9.18,14.94,7876,12817.8,1,1,Margin_Controlled,MC,good,intact,good,good,NA
372,372,17060201,East Fork Salmon River,1008.675062,9.3,15.08,9383,15214.6,1,1,Margin_Controlled,MC,good,intact,good,intact,Strategic - Long-Term Investment
373,373,17060201,East Fork Salmon River,967.6185414,9.3,15.1,9004.9,14620.8,1,1,Margin_Controlled,MC,good,intact,good,good,Straight Forward - Quick Return
374,374,17060201,East Fork Salmon River,950.9283457,9.3,15.1,8851.3,14371.4,1,1,Margin_Controlled,MC,good,intact,good,intact,Easiest - Low-Hanging Fruit
375,375,17060201,East Fork Salmon River,265.1494323,11.2,17.9,2969.3,4745.5,1,1,Wandering_Gravel,WA,good,intact,good,good,NA
376,376,17060201,East Fork Salmon River,1049.307835,11.22,17.98,11771.5,18863.8,1,1,Margin_Controlled,MC,moderate,intact,moderate,good,Straight Forward - Quick Return
377,377,17060201,East Fork Salmon River,1021.236097,11.3,18,11541.4,18384.6,1,1,Margin_Controlled,MC,moderate,intact,moderate,good,Straight Forward - Quick Return
378,378,17060201,East Fork Salmon River,1044.371761,11.3,18,11800.2,18796.8,1,1,Margin_Controlled,MC,moderate,intact,moderate,intact,Easiest - Low-Hanging Fruit
379,379,17060201,East Fork Salmon River,1007.981618,11.3,18,11393.1,18148.4,1,1,Margin_Controlled,MC,moderate,intact,moderate,intact,Easiest - Low-Hanging Fruit
380,380,17060201,East Fork Salmon River,1020.250835,11.3,18.06,11530.4,18428.2,1,1,Margin_Controlled,MC,moderate,intact,moderate,good,Strategic - Long-Term Investment
381,381,17060201,East Fork Salmon River,1118.847011,11,17.7,12310.5,19808.8,1,1,Wandering_Gravel,WA,good,intact,good,good,NA
382,382,17060201,East Fork Salmon River,1248.746158,10.5,16.95,13114.7,21170.9,1,1,Wandering_Gravel,WA,good,intact,good,intact,Strategic - Long-Term Investment
383,383,17060201,East Fork Salmon River,1030.464977,10.56,17,10882,17518.4,1,1,Wandering_Gravel,WA,good,intact,good,good,Straight Forward - Quick Return
384,384,17060201,East Fork Salmon River,792.9122509,12.73,20.23,10099.5,16049.7,1,1,Margin_Controlled,MC,moderate,intact,moderate,moderate,NA
385,385,17060201,East Fork Salmon River,973.5484169,12.92,20.5,12586,19970,1,1,Margin_Controlled,MC,moderate,intact,moderate,moderate,NA
386,386,17060201,East Fork Salmon River,969.7962599,13,20.5,12615.8,19894.1,1,1,Margin_Controlled,MC,moderate,intact,moderate,moderate,NA
387,387,17060201,East Fork Salmon River,965.6704864,13,20.5,12562.7,19810.4,1,1,Margin_Controlled,MC,moderate,intact,moderate,moderate,NA
388,388,17060201,East Fork Salmon River,984.1190162,13.16,20.82,12957.7,20500,1,1,Margin_Controlled,MC,moderate,intact,moderate,moderate,NA
389,389,17060201,East Fork Salmon River,275.3042218,11.4,18.25,3138.2,5023.8,1,1,Margin_Controlled,MC,moderate,intact,moderate,moderate,NA
390,390,17060201,East Fork Salmon River,1004.49513,11.4,18.3,11454.5,18387.4,1,1,Margin_Controlled,MC,moderate,intact,moderate,good,Straight Forward - Quick Return
391,391,17060201,East Fork Salmon River,615.4907883,14.2,22.3,8742.6,13729.6,1,1,Margin_Controlled,MC,moderate,intact,moderate,moderate,NA
392,392,17060201,East Fork Salmon River,979.3286015,14.2,22.3,13914.5,21851.6,1,1,Margin_Controlled,MC,moderate,intact,moderate,moderate,NA
393,393,17060201,East Fork Salmon River,983.2560728,14.2,22.3,13969.7,21938.4,1,1,Margin_Controlled,MC,moderate,intact,moderate,moderate,NA
394,394,17060201,East Fork Salmon River,979.4571741,14.16,22.2,13877.1,21756.5,1,1,Margin_Controlled,MC,moderate,intact,moderate,moderate,NA
395,395,17060201,East Fork Salmon River,990.8998721,14.1,22.2,13977.9,22007.8,1,1,Margin_Controlled,MC,moderate,intact,moderate,moderate,NA
396,396,17060201,East Fork Salmon River,977.3077069,14.1,22.2,13788.3,21709.3,1,1,Margin_Controlled,MC,moderate,intact,moderate,moderate,NA
397,397,17060201,East Fork Salmon River,1000.8189,14.14,22.2,14156.3,22225.6,1,1,Margin_Controlled,MC,moderate,intact,moderate,moderate,NA
398,398,17060201,East Fork Salmon River,992.588353,14.2,22.2,14100.7,22044.7,1,1,Margin_Controlled,MC,moderate,intact,moderate,moderate,NA
399,399,17060201,East Fork Salmon River,679.2207756,13.8,21.8,9380.9,14819.1,1,1,Margin_Controlled,MC,moderate,intact,moderate,moderate,NA
400,400,17060201,East Fork Salmon River,986.504471,13.86,21.8,13679.6,21516.3,1,1,Margin_Controlled,MC,moderate,intact,moderate,moderate,NA
401,401,17060201,East Fork Salmon River,989.5669226,13.9,21.8,13761.1,21582.1,1,1,Margin_Controlled,MC,moderate,intact,moderate,moderate,NA
402,402,17060201,East Fork Salmon River,953.3006688,13.8,21.82,13167.1,20819.3,1,1,Margin_Controlled,MC,moderate,intact,moderate,moderate,NA
403,403,17060201,East Fork Salmon River,948.8156477,13.8,21.84,13106,20741.7,1,1,Margin_Controlled,MC,moderate,intact,moderate,moderate,NA
406,406,17060201,East Fork Valley Creek,1033.269318,2.86,5.42,2954.8,5599.7,1,1,Margin_Controlled,MC,good,intact,good,good,Straight Forward - Quick Return
407,407,17060201,East Fork Valley Creek,1018.364012,2.9,5.5,2953.4,5601.3,1,1,AlluvialFan,AF,good,intact,good,intact,Strategic - Long-Term Investment
409,409,17060201,East Pass Creek,961.306584,3.15,5.7,3030.3,5483.4,1,1,Conf_Floodplain,CF,good,intact,good,good,Straight Forward - Quick Return
410,410,17060201,East Pass Creek,1031.714843,3.26,5.88,3363.6,6066.8,1,1,Conf_Floodplain,CF,good,intact,good,intact,Strategic - Long-Term Investment
411,411,17060201,East Pass Creek,1043.619524,3.35,6.05,3496,6313.6,1,1,Planform_Controlled,PC,good,intact,good,good,NA
412,412,17060201,East Pass Creek,1001.507167,3.45,6.2,3456.3,6211.4,1,1,Planform_Controlled,PC,good,intact,good,good,Straight Forward - Quick Return
413,413,17060201,East Pass Creek,1008.850929,3.58,6.36,3612.6,6417.9,1,1,Planform_Controlled,PC,good,intact,good,good,Straight Forward - Quick Return
414,414,17060201,East Pass Creek,1046.75343,3.62,6.67,3788.9,6981.3,1,1,Planform_Controlled,PC,good,intact,good,good,Straight Forward - Quick Return
415,415,17060201,East Pass Creek,1002.086945,3.72,6.82,3729,6836.4,1,1,Planform_Controlled,PC,good,intact,good,good,Straight Forward - Quick Return
416,416,17060201,East Pass Creek,995.201795,3.8,6.9,3783.2,6869.5,1,1,Planform_Controlled,PC,good,intact,good,good,Straight Forward - Quick Return
417,417,17060201,East Pass Creek,1027.841963,4.1,7.32,4214.5,7524.4,1,1,Planform_Controlled,PC,good,intact,good,intact,Easiest - Low-Hanging Fruit
418,418,17060201,East Pass Creek,1022.127498,4.32,7.62,4416.2,7789.7,1,1,Planform_Controlled,PC,good,intact,good,intact,Easiest - Low-Hanging Fruit
419,419,17060201,East Pass Creek,1006.310001,4.3,7.62,4328.3,7670.2,1,1,Planform_Controlled,PC,good,intact,good,intact,Easiest - Low-Hanging Fruit
420,420,17060201,East Pass Creek,321.6486292,4.6,7.9,1480.2,2542,1,1,Planform_Controlled,PC,good,intact,good,intact,Easiest - Low-Hanging Fruit
