visit.id,GU,model,species,lifestage,area.delft,hab.area.suitable,pred.fish,med,mean,sd,med.suitable,mean.suitable,sd.suitable
1029,Riffle,nrei,steelhead,juvenile,117.7,32.25,20,-19.159,-23.82,77.62,NA,NA,NA
1029,Transition,nrei,steelhead,juvenile,275.341,58.699999999999996,29,-9.288,-12.895,74.542,NA,NA,NA
1029,Bank,fuzzy,chinook,spawner,87.56099999999999,15.442,1,0.078,0.236,0.222,NA,NA,NA
1029,Chute,fuzzy,chinook,spawner,35.519999999999996,15.3,0,0.354,0.37,0.18,NA,NA,NA
1029,Glide-Run,fuzzy,chinook,spawner,368.796,179.708,1,0.394,0.396,0.245,NA,NA,NA
1029,Margin Attached Bar,fuzzy,chinook,spawner,64.06099999999999,4.62,0,0.078,0.144,0.144,NA,NA,NA
1029,Mid Channel Bar,fuzzy,chinook,spawner,21.37,0.26,0,0.078,0.104,0.075,NA,NA,NA
1029,Pocket Pool,fuzzy,chinook,spawner,11.94,5.06,0,0.15,0.336,0.284,NA,NA,NA
1029,Pond,fuzzy,chinook,spawner,8.58,0,0,0.078,0.078,0,NA,NA,NA
1029,Pool,fuzzy,chinook,spawner,172.77,133.92000000000002,8,0.666,0.571,0.262,NA,NA,NA
1029,Riffle,fuzzy,chinook,spawner,117.7,47.4,1,0.271,0.339,0.273,NA,NA,NA
1029,Transition,fuzzy,chinook,spawner,275.341,71.199,0,0.127,0.261,0.224,NA,NA,NA
1029,Bank,fuzzy,steelhead,spawner,87.56099999999999,15.442,1,0.078,0.236,0.222,NA,NA,NA
1029,Chute,fuzzy,steelhead,spawner,35.519999999999996,15.3,0,0.354,0.37,0.18,NA,NA,NA
1029,Glide-Run,fuzzy,steelhead,spawner,368.796,179.708,2,0.394,0.396,0.245,NA,NA,NA
1029,Margin Attached Bar,fuzzy,steelhead,spawner,64.06099999999999,4.62,0,0.078,0.144,0.144,NA,NA,NA
1029,Mid Channel Bar,fuzzy,steelhead,spawner,21.37,0.26,0,0.078,0.104,0.075,NA,NA,NA
1029,Pocket Pool,fuzzy,steelhead,spawner,11.94,5.06,0,0.15,0.336,0.284,NA,NA,NA
1029,Pond,fuzzy,steelhead,spawner,8.58,0,0,0.078,0.078,0,NA,NA,NA
1029,Pool,fuzzy,steelhead,spawner,172.77,133.92000000000002,10,0.666,0.571,0.262,NA,NA,NA
1029,Riffle,fuzzy,steelhead,spawner,117.7,47.4,2,0.271,0.339,0.273,NA,NA,NA
1029,Transition,fuzzy,steelhead,spawner,275.341,71.199,0,0.127,0.261,0.224,NA,NA,NA
1029,Bank,fuzzy,chinook,juvenile,87.56099999999999,23.771,18,0.245,0.335,0.273,NA,NA,NA
1029,Chute,fuzzy,chinook,juvenile,35.519999999999996,3.81,0,0.084,0.169,0.152,NA,NA,NA
1029,Glide-Run,fuzzy,chinook,juvenile,368.796,134.789,94,0.239,0.312,0.244,NA,NA,NA
1029,Margin Attached Bar,fuzzy,chinook,juvenile,64.06099999999999,6.5,5,0.078,0.165,0.188,NA,NA,NA
1029,Mid Channel Bar,fuzzy,chinook,juvenile,21.37,0.4,0,0.078,0.095,0.083,NA,NA,NA
1029,Pocket Pool,fuzzy,chinook,juvenile,11.94,3.72,0,0.18,0.259,0.189,NA,NA,NA
1029,Pond,fuzzy,chinook,juvenile,8.58,8.58,4,0.692,0.696,0.032,NA,NA,NA
1029,Pool,fuzzy,chinook,juvenile,172.77,144.12,270,0.664,0.622,0.213,NA,NA,NA
1029,Riffle,fuzzy,chinook,juvenile,117.7,19.37,15,0.083,0.202,0.204,NA,NA,NA
1029,Transition,fuzzy,chinook,juvenile,275.341,66.729,26,0.082,0.251,0.23,NA,NA,NA
1096,Bank,nrei,steelhead,juvenile,527.63,103.899,30,2.35,12.442,41.948,NA,NA,NA
1096,Chute,nrei,steelhead,juvenile,17.71,11.277,5,33.567,35,40.635,NA,NA,NA
1096,Glide-Run,nrei,steelhead,juvenile,7310.467,5337.938,2593,58.989,42.153,65.712,NA,NA,NA
1096,Margin Attached Bar,nrei,steelhead,juvenile,1065.117,43.195,23,-23.505,-16.574,21.515,NA,NA,NA
1096,Pool,nrei,steelhead,juvenile,1771.859,1698.746,835,82.049,70.026,44.832,NA,NA,NA
1096,Riffle,nrei,steelhead,juvenile,345.851,303.816,135,75.518,55.456,76.813,NA,NA,NA
1096,Transition,nrei,steelhead,juvenile,1549.4850000000001,425.69,181,4.162,7.014,42.915,NA,NA,NA
1096,Bank,fuzzy,chinook,spawner,527.63,92.627,6,0.276,0.311,0.237,NA,NA,NA
1096,Chute,fuzzy,chinook,spawner,17.71,2.79,0,0.39,0.376,0.065,NA,NA,NA
1096,Glide-Run,fuzzy,chinook,spawner,7310.467,4551.52,95,0.467,0.449,0.178,NA,NA,NA
1096,Margin Attached Bar,fuzzy,chinook,spawner,1065.117,51.06,0,0.078,0.167,0.137,NA,NA,NA
1096,Pool,fuzzy,chinook,spawner,1771.859,1292.868,23,0.511,0.501,0.127,NA,NA,NA
1096,Riffle,fuzzy,chinook,spawner,345.851,320.171,10,0.594,0.582,0.109,NA,NA,NA
1096,Transition,fuzzy,chinook,spawner,1549.4850000000001,451.993,6,0.343,0.339,0.191,NA,NA,NA
1096,Bank,fuzzy,steelhead,spawner,527.63,92.627,6,0.276,0.311,0.237,NA,NA,NA
1096,Chute,fuzzy,steelhead,spawner,17.71,2.79,0,0.39,0.376,0.065,NA,NA,NA
1096,Glide-Run,fuzzy,steelhead,spawner,7310.467,4551.52,139,0.467,0.449,0.178,NA,NA,NA
1096,Margin Attached Bar,fuzzy,steelhead,spawner,1065.117,51.06,0,0.078,0.167,0.137,NA,NA,NA
1096,Pool,fuzzy,steelhead,spawner,1771.859,1292.868,26,0.511,0.501,0.127,NA,NA,NA
1096,Riffle,fuzzy,steelhead,spawner,345.851,320.171,17,0.594,0.582,0.109,NA,NA,NA
1096,Transition,fuzzy,steelhead,spawner,1549.4850000000001,451.993,7,0.343,0.339,0.191,NA,NA,NA
1096,Bank,fuzzy,chinook,juvenile,527.63,172.316,318,0.656,0.518,0.29,NA,NA,NA
1096,Chute,fuzzy,chinook,juvenile,17.71,7.75,16,0.73,0.72,0.085,NA,NA,NA
1096,Glide-Run,fuzzy,chinook,juvenile,7310.467,3995.3579999999997,3847,0.453,0.444,0.245,NA,NA,NA
1096,Margin Attached Bar,fuzzy,chinook,juvenile,1065.117,190.564,41,0.236,0.286,0.217,NA,NA,NA
1096,Pool,fuzzy,chinook,juvenile,1771.859,1503.139,2045,0.652,0.613,0.199,NA,NA,NA
1096,Riffle,fuzzy,chinook,juvenile,345.851,262.472,234,0.527,0.517,0.209,NA,NA,NA
1096,Transition,fuzzy,chinook,juvenile,1549.4850000000001,682.072,719,0.525,0.454,0.269,NA,NA,NA
1164,Bank,nrei,steelhead,juvenile,14.69,0,0,-32.678,-31.792,5.658,NA,NA,NA
1164,Glide-Run,nrei,steelhead,juvenile,259.05,73.37,33,-5.38,-4.782,33.351,NA,NA,NA
1164,Margin Attached Bar,nrei,steelhead,juvenile,3.28,0,0,-28.089,-28.253,9.092,NA,NA,NA
1164,Pocket Pool,nrei,steelhead,juvenile,14.14,14.1,12,56.292,54.249,13.646,NA,NA,NA
1164,Pool,nrei,steelhead,juvenile,29.1,26.55,19,51.244,46.724,26.876,NA,NA,NA
1164,Rapid,nrei,steelhead,juvenile,41.97,9.56,7,-9.984,-17.614,57.322,NA,NA,NA
1164,Riffle,nrei,steelhead,juvenile,6.38,2.48,2,-4.066,-6.231,32.853,NA,NA,NA
1164,Transition,nrei,steelhead,juvenile,56.5,2.79,2,-28.276,-24.225,22.116,NA,NA,NA
1164,Bank,fuzzy,chinook,spawner,14.69,0.02,0,0.18,0.183,0.042,NA,NA,NA
1164,Glide-Run,fuzzy,chinook,spawner,259.05,47.41,1,0.23,0.272,0.125,NA,NA,NA
1164,Margin Attached Bar,fuzzy,chinook,spawner,3.28,0,0,0.078,0.092,0.045,NA,NA,NA
1164,Pocket Pool,fuzzy,chinook,spawner,14.14,9.75,0,0.489,0.467,0.131,NA,NA,NA
1164,Pool,fuzzy,chinook,spawner,29.1,20.46,0,0.539,0.494,0.147,NA,NA,NA
1164,Rapid,fuzzy,chinook,spawner,41.97,2.42,0,0.23,0.242,0.084,NA,NA,NA
1164,Riffle,fuzzy,chinook,spawner,6.38,2.27,0,0.338,0.337,0.106,NA,NA,NA
1164,Transition,fuzzy,chinook,spawner,56.5,2,0,0.195,0.204,0.079,NA,NA,NA
1164,Bank,fuzzy,steelhead,spawner,14.69,0.03,0,0.078,0.082,0.033,NA,NA,NA
1164,Glide-Run,fuzzy,steelhead,spawner,259.05,52.82,0,0.078,0.211,0.176,NA,NA,NA
1164,Margin Attached Bar,fuzzy,steelhead,spawner,3.28,0,0,0.078,0.078,0.002,NA,NA,NA
1164,Pocket Pool,fuzzy,steelhead,spawner,14.14,8.69,0,0.47,0.407,0.221,NA,NA,NA
1164,Pool,fuzzy,steelhead,spawner,29.1,20.52,2,0.556,0.445,0.235,NA,NA,NA
1164,Rapid,fuzzy,steelhead,spawner,41.97,3.3200000000000003,0,0.078,0.159,0.132,NA,NA,NA
1164,Riffle,fuzzy,steelhead,spawner,6.38,2.52,0,0.351,0.301,0.158,NA,NA,NA
1164,Transition,fuzzy,steelhead,spawner,56.5,2.03,0,0.078,0.104,0.092,NA,NA,NA
1164,Bank,fuzzy,chinook,juvenile,14.69,0.16,0,0.078,0.09,0.062,NA,NA,NA
1164,Glide-Run,fuzzy,chinook,juvenile,259.05,53.26,9,0.128,0.222,0.167,NA,NA,NA
1164,Margin Attached Bar,fuzzy,chinook,juvenile,3.28,0,0,0.078,0.078,0.001,NA,NA,NA
1164,Pocket Pool,fuzzy,chinook,juvenile,14.14,13.57,9,0.49,0.491,0.054,NA,NA,NA
1164,Pool,fuzzy,chinook,juvenile,29.1,27.72,67,0.55,0.548,0.083,NA,NA,NA
1164,Rapid,fuzzy,chinook,juvenile,41.97,6.17,0,0.104,0.205,0.149,NA,NA,NA
1164,Riffle,fuzzy,chinook,juvenile,6.38,1.22,0,0.278,0.261,0.137,NA,NA,NA
1164,Transition,fuzzy,chinook,juvenile,56.5,0.72,0,0.078,0.098,0.068,NA,NA,NA
1175,Bank,nrei,steelhead,juvenile,19.567,0,0,-31.881,-30.05,8.51,NA,NA,NA
1175,Glide-Run,nrei,steelhead,juvenile,255.2,45.22,26,-10.491,-10.71,23.265,NA,NA,NA
1175,Margin Attached Bar,nrei,steelhead,juvenile,4.3500000000000005,0,0,-35.006,-35.146,1.468,NA,NA,NA
1175,Mid Channel Bar,nrei,steelhead,juvenile,4.53,0,0,-36.271,-36.144,1.269,NA,NA,NA
1175,Pocket Pool,nrei,steelhead,juvenile,25.830000000000002,21.12,19,24.832,24.579,21.01,NA,NA,NA
1175,Pool,nrei,steelhead,juvenile,42.96,33.06,14,31.519,27.68,21.984,NA,NA,NA
1175,Rapid,nrei,steelhead,juvenile,46.43000000000001,3.45,2,-21.911,-22.627,29.14,NA,NA,NA
1175,Riffle,nrei,steelhead,juvenile,11.73,2.8,1,-7.612,-5.698,17.848,NA,NA,NA
1175,Transition,nrei,steelhead,juvenile,125.024,1.73,0,-28.798,-26.095,11.611,NA,NA,NA
1175,Bank,fuzzy,chinook,spawner,19.567,0.01,0,0.078,0.102,0.056,NA,NA,NA
1175,Glide-Run,fuzzy,chinook,spawner,255.2,24.59,0,0.208,0.21,0.121,NA,NA,NA
1175,Margin Attached Bar,fuzzy,chinook,spawner,4.3500000000000005,0,0,0.078,0.089,0.038,NA,NA,NA
1175,Mid Channel Bar,fuzzy,chinook,spawner,4.53,0,0,0.208,0.208,0,NA,NA,NA
1175,Pocket Pool,fuzzy,chinook,spawner,25.830000000000002,13.3,0,0.407,0.393,0.11,NA,NA,NA
1175,Pool,fuzzy,chinook,spawner,42.96,26.46,1,0.497,0.451,0.227,NA,NA,NA
1175,Rapid,fuzzy,chinook,spawner,46.43000000000001,2.6399999999999997,0,0.23,0.223,0.089,NA,NA,NA
1175,Riffle,fuzzy,chinook,spawner,11.73,0.69,0,0.078,0.169,0.121,NA,NA,NA
1175,Transition,fuzzy,chinook,spawner,125.024,0.25,0,0.078,0.131,0.072,NA,NA,NA
1175,Bank,fuzzy,steelhead,spawner,19.567,0.01,0,0.078,0.086,0.041,NA,NA,NA
1175,Glide-Run,fuzzy,steelhead,spawner,255.2,25.12,0,0.078,0.164,0.135,NA,NA,NA
1175,Margin Attached Bar,fuzzy,steelhead,spawner,4.3500000000000005,0,0,0.078,0.078,0,NA,NA,NA
1175,Mid Channel Bar,fuzzy,steelhead,spawner,4.53,0,0,0.078,0.078,0,NA,NA,NA
1175,Pocket Pool,fuzzy,steelhead,spawner,25.830000000000002,13.38,0,0.408,0.36,0.163,NA,NA,NA
1175,Pool,fuzzy,steelhead,spawner,42.96,26.46,1,0.497,0.44,0.239,NA,NA,NA
1175,Rapid,fuzzy,steelhead,spawner,46.43000000000001,3.33,0,0.078,0.134,0.119,NA,NA,NA
1175,Riffle,fuzzy,steelhead,spawner,11.73,0.69,0,0.078,0.169,0.121,NA,NA,NA
1175,Transition,fuzzy,steelhead,spawner,125.024,0.25,0,0.078,0.087,0.043,NA,NA,NA
1175,Bank,fuzzy,chinook,juvenile,19.567,0.08,0,0.078,0.089,0.055,NA,NA,NA
1175,Glide-Run,fuzzy,chinook,juvenile,255.2,27.28,1,0.078,0.176,0.145,NA,NA,NA
1175,Margin Attached Bar,fuzzy,chinook,juvenile,4.3500000000000005,0,0,0.078,0.078,0,NA,NA,NA
1175,Mid Channel Bar,fuzzy,chinook,juvenile,4.53,0,0,0.078,0.078,0,NA,NA,NA
1175,Pocket Pool,fuzzy,chinook,juvenile,25.830000000000002,20.56,8,0.503,0.5,0.131,NA,NA,NA
1175,Pool,fuzzy,chinook,juvenile,42.96,34.66,72,0.596,0.55,0.212,NA,NA,NA
1175,Rapid,fuzzy,chinook,juvenile,46.43000000000001,3.55,0,0.078,0.134,0.121,NA,NA,NA
1175,Riffle,fuzzy,chinook,juvenile,11.73,1.05,0,0.078,0.158,0.126,NA,NA,NA
1175,Transition,fuzzy,chinook,juvenile,125.024,0.97,0,0.078,0.09,0.055,NA,NA,NA
1448,Bank,nrei,steelhead,juvenile,137.61,23.941,14,-3.568,3.613,38.688,NA,NA,NA
1448,Barface,nrei,steelhead,juvenile,3.42,0.885,0,2.455,4.641,27.962,NA,NA,NA
1448,Glide-Run,nrei,steelhead,juvenile,961.3149999999999,455.544,288,12.556,-39.263,128.43,NA,NA,NA
1448,Margin Attached Bar,nrei,steelhead,juvenile,285.52,23.134,5,-21.33,-11.171,27.685,NA,NA,NA
1448,Mid Channel Bar,nrei,steelhead,juvenile,36.79,0.37,0,-29.177,-29.965,22.156,NA,NA,NA
1448,Pocket Pool,nrei,steelhead,juvenile,14.01,6.855,4,-2.248,-38.044,109.579,NA,NA,NA
1448,Pool,nrei,steelhead,juvenile,600.24,391.812,284,39.659,-22.86,125.988,NA,NA,NA
1448,Riffle,nrei,steelhead,juvenile,166.66,78.383,59,-12.753,-74.373,148.214,NA,NA,NA
1448,Transition,nrei,steelhead,juvenile,612.535,256.409,150,24.428,6.294,74.556,NA,NA,NA
1448,Bank,fuzzy,chinook,spawner,137.61,36.65,3,0.409,0.405,0.219,NA,NA,NA
1448,Barface,fuzzy,chinook,spawner,3.42,1.53,0,0.603,0.616,0.086,NA,NA,NA
1448,Glide-Run,fuzzy,chinook,spawner,961.3149999999999,410.86400000000003,2,0.383,0.369,0.166,NA,NA,NA
1448,Margin Attached Bar,fuzzy,chinook,spawner,285.52,31.89,0,0.168,0.232,0.18,NA,NA,NA
1448,Mid Channel Bar,fuzzy,chinook,spawner,36.79,6.43,0,0.078,0.232,0.183,NA,NA,NA
1448,Pocket Pool,fuzzy,chinook,spawner,14.01,2.68,0,0.3,0.259,0.153,NA,NA,NA
1448,Pool,fuzzy,chinook,spawner,600.24,394.43,12,0.509,0.483,0.19,NA,NA,NA
1448,Riffle,fuzzy,chinook,spawner,166.66,112.48,3,0.478,0.473,0.187,NA,NA,NA
1448,Transition,fuzzy,chinook,spawner,612.535,237.496,5,0.367,0.362,0.224,NA,NA,NA
1448,Bank,fuzzy,steelhead,spawner,137.61,36.69,5,0.41,0.401,0.223,NA,NA,NA
1448,Barface,fuzzy,steelhead,spawner,3.42,1.53,0,0.603,0.616,0.086,NA,NA,NA
1448,Glide-Run,fuzzy,steelhead,spawner,961.3149999999999,402.73400000000004,2,0.38,0.362,0.168,NA,NA,NA
1448,Margin Attached Bar,fuzzy,steelhead,spawner,285.52,31.77,0,0.104,0.227,0.182,NA,NA,NA
1448,Mid Channel Bar,fuzzy,steelhead,spawner,36.79,6.43,0,0.078,0.232,0.183,NA,NA,NA
1448,Pocket Pool,fuzzy,steelhead,spawner,14.01,2.68,0,0.3,0.259,0.153,NA,NA,NA
1448,Pool,fuzzy,steelhead,spawner,600.24,393.84,17,0.508,0.482,0.19,NA,NA,NA
1448,Riffle,fuzzy,steelhead,spawner,166.66,112.48,5,0.478,0.473,0.187,NA,NA,NA
1448,Transition,fuzzy,steelhead,spawner,612.535,237.606,6,0.367,0.355,0.232,NA,NA,NA
1448,Bank,fuzzy,chinook,juvenile,137.61,34.86,65,0.387,0.398,0.278,NA,NA,NA
1448,Barface,fuzzy,chinook,juvenile,3.42,0.4,0,0.349,0.34,0.112,NA,NA,NA
1448,Glide-Run,fuzzy,chinook,juvenile,961.3149999999999,336.574,220,0.261,0.33,0.235,NA,NA,NA
1448,Margin Attached Bar,fuzzy,chinook,juvenile,285.52,45.385,39,0.079,0.265,0.241,NA,NA,NA
1448,Mid Channel Bar,fuzzy,chinook,juvenile,36.79,1.68,0,0.078,0.189,0.132,NA,NA,NA
1448,Pocket Pool,fuzzy,chinook,juvenile,14.01,6.5600000000000005,7,0.085,0.368,0.305,NA,NA,NA
1448,Pool,fuzzy,chinook,juvenile,600.24,278.96,447,0.373,0.393,0.277,NA,NA,NA
1448,Riffle,fuzzy,chinook,juvenile,166.66,33.95,6,0.088,0.222,0.184,NA,NA,NA
1448,Transition,fuzzy,chinook,juvenile,612.535,185.01,162,0.259,0.317,0.251,NA,NA,NA
1486,Bank,nrei,steelhead,juvenile,371.291,154.146,85,41.058,26.051,62.317,NA,NA,NA
1486,Glide-Run,nrei,steelhead,juvenile,1554.13,346.815,295,-161.392,-148.245,155.147,NA,NA,NA
1486,Margin Attached Bar,nrei,steelhead,juvenile,247.859,125.727,47,57.018,34.546,60.596,NA,NA,NA
1486,Mid Channel Bar,nrei,steelhead,juvenile,40.05,12.378,7,5.724,0.421,55.078,NA,NA,NA
1486,Pocket Pool,nrei,steelhead,juvenile,9.959999999999999,0.282,0,-164.112,-158.038,65.971,NA,NA,NA
1486,Pool,nrei,steelhead,juvenile,374.43,229.013,288,9.914,-73.002,157.557,NA,NA,NA
1486,Riffle,nrei,steelhead,juvenile,107.84,9.068,14,-197.772,-187.083,98.539,NA,NA,NA
1486,Transition,nrei,steelhead,juvenile,320.63,172.51,108,32.057,-34.064,130.194,NA,NA,NA
1486,Bank,fuzzy,chinook,spawner,371.291,59.818999999999996,5,0.435,0.482,0.199,NA,NA,NA
1486,Glide-Run,fuzzy,chinook,spawner,1554.13,467.591,3,0.3,0.367,0.118,NA,NA,NA
1486,Margin Attached Bar,fuzzy,chinook,spawner,247.859,20.42,0,0.3,0.32,0.056,NA,NA,NA
1486,Mid Channel Bar,fuzzy,chinook,spawner,40.05,NA,NA,NA,NA,NA,NA,NA,NA
1486,Pocket Pool,fuzzy,chinook,spawner,9.959999999999999,4.53,0,0.454,0.376,0.093,NA,NA,NA
1486,Pool,fuzzy,chinook,spawner,374.43,178.51,7,0.452,0.49,0.206,NA,NA,NA
1486,Riffle,fuzzy,chinook,spawner,107.84,0,0,0.3,0.295,0.016,NA,NA,NA
1486,Transition,fuzzy,chinook,spawner,320.63,45.589999999999996,0,0.3,0.336,0.083,NA,NA,NA
1486,Bank,fuzzy,steelhead,spawner,371.291,47.199,5,0.377,0.428,0.244,NA,NA,NA
1486,Glide-Run,fuzzy,steelhead,spawner,1554.13,252.39,3,0.249,0.296,0.151,NA,NA,NA
1486,Margin Attached Bar,fuzzy,steelhead,spawner,247.859,1.92,0,0.206,0.186,0.106,NA,NA,NA
1486,Mid Channel Bar,fuzzy,steelhead,spawner,40.05,NA,NA,NA,NA,NA,NA,NA,NA
1486,Pocket Pool,fuzzy,steelhead,spawner,9.959999999999999,1.54,0,0.39,0.27,0.155,NA,NA,NA
1486,Pool,fuzzy,steelhead,spawner,374.43,170.57999999999998,6,0.405,0.416,0.281,NA,NA,NA
1486,Riffle,fuzzy,steelhead,spawner,107.84,0,0,0.23,0.185,0.063,NA,NA,NA
1486,Transition,fuzzy,steelhead,spawner,320.63,15.41,0,0.23,0.253,0.113,NA,NA,NA
1486,Bank,fuzzy,chinook,juvenile,371.291,6.38,0,0.117,0.164,0.112,NA,NA,NA
1486,Glide-Run,fuzzy,chinook,juvenile,1554.13,144.85,86,0.179,0.204,0.145,NA,NA,NA
1486,Margin Attached Bar,fuzzy,chinook,juvenile,247.859,45.440000000000005,0,0.249,0.269,0.167,NA,NA,NA
1486,Mid Channel Bar,fuzzy,chinook,juvenile,40.05,NA,NA,NA,NA,NA,NA,NA,NA
1486,Pocket Pool,fuzzy,chinook,juvenile,9.959999999999999,2.5,0,0.26,0.319,0.148,NA,NA,NA
1486,Pool,fuzzy,chinook,juvenile,374.43,140.16,233,0.345,0.355,0.215,NA,NA,NA
1486,Riffle,fuzzy,chinook,juvenile,107.84,10.98,0,0.078,0.183,0.142,NA,NA,NA
1486,Transition,fuzzy,chinook,juvenile,320.63,15.63,4,0.078,0.167,0.126,NA,NA,NA
1494,Bank,nrei,steelhead,juvenile,399.844,182.29500000000002,73,41.885,33.408,42.975,NA,NA,NA
1494,Glide-Run,nrei,steelhead,juvenile,1992.479,1051.27,880,21.736,-44.41,110.758,NA,NA,NA
1494,Margin Attached Bar,nrei,steelhead,juvenile,480.702,230.213,90,39.39,32.56,42.627,NA,NA,NA
1494,Pocket Pool,nrei,steelhead,juvenile,9.84,6.213,4,54.072,-9.8,97.692,NA,NA,NA
1494,Pool,nrei,steelhead,juvenile,547.21,359.754,369,37.73,-7.306,96.206,NA,NA,NA
1494,Rapid,nrei,steelhead,juvenile,15.171,1.705,3,-165.19,-139.448,70.633,NA,NA,NA
1494,Transition,nrei,steelhead,juvenile,416.40999999999997,307.51,181,53.112,28.072,68.039,NA,NA,NA
1494,Bank,fuzzy,chinook,spawner,399.844,132.278,10,0.362,0.331,0.198,NA,NA,NA
1494,Glide-Run,fuzzy,chinook,spawner,1992.479,1469.029,30,0.549,0.51,0.138,NA,NA,NA
1494,Margin Attached Bar,fuzzy,chinook,spawner,480.702,174.845,1,0.331,0.303,0.191,NA,NA,NA
1494,Pocket Pool,fuzzy,chinook,spawner,9.84,9.84,0,0.62,0.611,0.119,NA,NA,NA
1494,Pool,fuzzy,chinook,spawner,547.21,428.64,9,0.556,0.528,0.148,NA,NA,NA
