VisitID,SiteName,WatershedName,VisitYear,PanelName,BottomOfSiteUTMZone,BottomOfSiteUTMEasting,BottomOfSiteUTMNorthing,VisitPhase,VisitStatus
1846,ENT00001-3A5,Entiat,2013,Annual,10,692654,5304562,Data Approved,Released to Public
1954,JDW00001-Lower Owens 2,John Day,2013,Annual,10,721975,4941450,Data Approved,Released to Public
1967,NA,NA,NA,NA,NA,NA,NA,Data Approved,Released to Public
197,CBW05583-206111,South Fork Salmon,2011,Rotating Panel 1,11,600107,4992642,Data Approved,Released to Public
1971,JDW00001-Lower Owens C,John Day,2013,Annual,10,722275,4941391,Data Approved,Released to Public
2014,CBW05583-108010,Upper Grande Ronde,2014,Rotating Panel 1,11,395288,4995287,Data Approved,Released to Public
2019,CBW05583-235322,Upper Grande Ronde,2014,Rotating Panel 1,11,391699,5001199,Data Approved,Released to Public
2021,CBW05583-280042,Upper Grande Ronde,2014,Rotating Panel 1,11,397640,4990198,Data Approved,Released to Public
2026,dsgn4-000202,Upper Grande Ronde,2014,Annual,11,390918,5010914,Data Approved,Released to Public
2027,dsgn4-000245,Upper Grande Ronde,2014,Annual,11,392823,5013599,Data Approved,Released to Public
2028,dsgn4-000277,Upper Grande Ronde,2014,Annual,11,392552,4998648,Data Approved,Released to Public
2051,CBW05583-045010,South Fork Salmon,2014,Annual,11,591133,5015244,Data Approved,Released to Public
2056,CBW05583-181535,South Fork Salmon,2014,Rotating Panel 1,11,597497,4990599,Data Approved,Released to Public
2060,CBW05583-241618,South Fork Salmon,2014,Annual,11,590019,5013154,Data Approved,Released to Public
2061,CBW05583-317074,South Fork Salmon,2014,Annual,11,584393,5009379,Data Approved,Released to Public
2065,CBW05583-404767,South Fork Salmon,2014,Annual,11,594981,4991429,Data Approved,Released to Public
2133,CBW05583-514458,Upper Grande Ronde,2014,Rotating Panel 1,11,392974,5027043,Data Approved,Released to Public
2140,dsgn4-000213,Upper Grande Ronde,2014,Annual,11,390652,5013164,Data Approved,Released to Public
2141,dsgn4-000092,Upper Grande Ronde,2014,Annual,11,400379,5020191,Data Approved,Released to Public
2145,dsgn4-000161,Upper Grande Ronde,2014,Annual,11,455527,4994690,Data Approved,Released to Public
2153,MNM00001-000444,Minam,2014,Rotating Panel 2,11,458174,5012856,Data Approved,Released to Public
22,CBW05583-193375,Lemhi,2011,Rotating Panel 1,12,297782,4985682,Data Approved,Released to Public
2205,YFI00001-000436,Yankee Fork,2014,Rotating Panel 2,11,695154,4928901,Data Approved,Released to Public
2262,CBW05583-010495,Tucannon,2014,Annual,11,448231,5130630,Data Approved,Released to Public
2265,CBW05583-248063,Tucannon,2014,Annual,11,447509,5132854,Data Approved,Released to Public
2271,CBW05583-353711,Lemhi,2014,Rotating Panel 1,12,295756,4950011,Data Approved,Not Released
2288,MTC00001-000382,John Day,2014,MTC Annual,11,267987,4934559,Data Approved,Released to Public
2338,WC503432-000029,Wenatchee,2014,Annual,10,680750,5251198,Data Approved,Released to Public
2435,CBW05583-423282,John Day,2014,Rotating Panel 1,11,312414,4905337,Data Approved,Released to Public
2441,ENT201301-Tyee Side,Entiat,2014,Annual,10,692633,5304962,Data Approved,Not Released
2447,ENT00001-1BC1,Entiat,2014,Annual,10,707421,5282609,Data Approved,Released to Public
2458,CBW05583-407211,Entiat,2014,Annual,10,693136,5299635,Data Approved,Released to Public
2459,ENT00001-1BC15,Entiat,2014,Annual,10,703405,5283214,Data Approved,Released to Public
2484,SFT00001-000023,Walla Walla,2014,Annual,11,425000,5109453,Data Approved,Released to Public
2499,ENT00001-1G16,Entiat,2014,Annual,10,696496,5294233,Data Approved,Released to Public
2546,CBW05583-189385,Methow,2014,Annual,10,716504,5304859,Data Approved,Released to Public
2556,WC503432-000016,Wenatchee,2014,Rotating Panel 1,10,658229,5310692,Data Approved,Released to Public
2563,WENMASTER-000195,Wenatchee,2014,Annual,10,669782,5308280,Data Approved,Released to Public
2668,MNM00001-000229,Minam,2014,Rotating Panel 2,11,449234,5024359,Data Approved,Released to Public
2696,CBW05583-432587,Tucannon,2014,Annual,11,442494,5143133,Data Approved,Released to Public
2769,JDW00001-Juniper Canyon 3,John Day,2014,Annual,10,721268,4944733,Data Approved,Released to Public
2771,JDW00001-Mazama 4,John Day,2014,Annual,10,719632,4946406,Data Approved,Released to Public
2785,JDW00001-Meyers Camp B,John Day,2014,Annual,10,720959,4943306,Data Approved,Released to Public
2790,JDW00001-Mazama A,John Day,2014,Annual,10,720257,4946012,Data Approved,Released to Public
2898,MNM00001-000393,Minam,2015,Rotating Panel 3,11,446727,5029642,Data Approved,Not Released
294,LEM00002-000004,Lemhi,2011,Annual,12,285056,4998214,Data Approved,Released to Public
3146,YFI00001-001078,Yankee Fork,2015,Rotating Panel 3,11,689782,4922221,Data Approved,Not Released
3161,CBW05583-345970,John Day,2015,Annual,11,311237,4908716,Data Approved,Not Released
3169,CBW05583-215442,South Fork Salmon,2015,Rotating Panel 2,11,583159,5018063,Quality Assurance,In Q/A
323,CBW05583-442351,South Fork Salmon,2011,Annual,11,619780,4973498,Data Approved,Released to Public
3275,LWIN0001-000041,Wenatchee,2015,Annual,10,660959,5299552,Data Approved,Not Released
3297,CBW05583-132779,Entiat,2015,Rotating Panel 2,10,686575,5310041,Data Approved,Not Released
3337,ENT00001-Wilson,Entiat,2015,"2015, 2020",10,701042,5285933,Data Approved,Not Released
3413,LRB_BC3220,Region 17,2015,Default,12,454715,4643995,Data Collection,Post Processing
3415,LRB_66576,Region 17,2015,Default,12,453203,4638061,Data Collection,Post Processing
3432,CBW05583-007410,John Day,2015,Annual,11,372422,4949001,Data Approved,Not Released
3464,SFT00001-000024,Walla Walla,2015,Annual,11,426221,5115963,Data Approved,Not Released
3466,CBW05583-095403,Wenatchee,2015,Rotating Panel 2,10,658612,5305627,Data Approved,Not Released
3501,CBW05583-038111,Lemhi,2015,Rotating Panel 2,12,279383,5002280,Quality Assurance,In Q/A
3512,CBW05583-219122,John Day,2015,Rotating Panel 2,11,372589,4943088,Data Approved,Not Released
3528,CBW05583-019570,John Day,2015,Rotating Panel 2,11,296792,4915610,Data Approved,Not Released
3615,JDW00001-Burrow Pit B,John Day,2015,Annual,10,713916,4954700,Data Approved,Not Released
3618,JDW00001-Corral B,John Day,2015,Annual,10,715088,4952726,Quality Assurance,In Q/A
3620,JDW00001-Pats Cabin 2,John Day,2015,Annual,10,715243,4952222,Data Approved,Not Released
3637,JDW00001-Upper Owens D,John Day,2015,Annual,10,723968,4940223,Data Approved,Not Released
3701,CBW05583-491690,Upper Grande Ronde,2016,Annual,11,437200,5002061,Data Approved,Not Released
372,CBW05583-032778,John Day,2011,Rotating Panel 1,11,341041,4930770,Data Approved,Released to Public
3949,ASW00001-NF-F2 P2,Asotin,2016,Annual,11,476512,5122092,Data Approved,Not Released
3975,YFI00001-001129,Yankee Fork,2016,Annual,11,681556,4912217,Data Approved,Not Released
3979,CBW05583-055979,Entiat,2016,Rotating Panel 3,10,684197,5314016,Quality Assurance,In Q/A
3983,CBW05583-141995,Entiat,2016,Rotating Panel 3,10,687555,5297482,Quality Assurance,In Q/A
3991,CBW05583-503467,Entiat,2016,Annual,10,694267,5290554,Data Collection,Post Processing
4000,CBW05583-014169,Methow,2016,Annual,10,711503,5398648,Data Collection,Post Processing
4024,WC503432-000038,Wenatchee,2016,Rotating Panel 3,10,669023,5308641,Quality Assurance,In Q/A
4086,CBW05583-314219,Wenatchee,2016,Rotating Panel 3,10,653017,5301820,Quality Assurance,In Q/A
4144,CBW05583-109611,Tucannon,2016,Rotating Panel 3,11,424594,5151334,Data Approved,Not Released
4147,CBW05583-170443,Tucannon,2016,Annual,11,443458,5142641,Data Approved,Not Released
4179,CBW05583-214911,Tucannon,2016,Annual,11,446251,5120885,Data Approved,Not Released
4182,YFI00001-000595,Yankee Fork,2016,Annual,11,681287,4915816,Data Approved,Not Released
4212,ENT00001-3C1,Entiat,2016,"2015, 2016, 2017, 2018",10,691608,5306592,Quality Assurance,In Q/A
4454,JDW00001-Sunflower 2,John Day,2016,Annual,10,714440,4953942,Data Collection,Post Processing
4483,JDW00001-Pats Cabin B,John Day,2016,Annual,10,715378,4952037,Data Collection,Post Processing
4555,NA,NA,NA,NA,NA,NA,NA,NA,NA
4883,NA,NA,NA,NA,NA,NA,NA,NA,NA
4912,NA,NA,NA,NA,NA,NA,NA,NA,NA
547,CBW05583-197071,Lemhi,2012,Rotating Panel 2,12,321162,4958637,Data Approved,Released to Public
548,NA,NA,NA,NA,NA,NA,NA,Data Approved,Released to Public
664,ORW03446-077704,Upper Grande Ronde,2012,Rotating Panel 2,11,384049,5008477,Data Approved,Released to Public
665,CBW05583-207602,John Day,2012,Rotating Panel 2,11,379777,4938976,Data Approved,Released to Public
681,CBW05583-030354,South Fork Salmon,2012,Rotating Panel 2,11,585656,5010605,Data Approved,Released to Public
685,CBW05583-162079,South Fork Salmon,2012,Rotating Panel 2,11,593334,5009518,Data Approved,Released to Public
686,CBW05583-215442,South Fork Salmon,2012,Rotating Panel 2,11,583154,5018021,Data Approved,Released to Public
699,CBW05583-410911,South Fork Salmon,2012,Rotating Panel 2,11,599893,4991356,Data Approved,Released to Public
701,CBW05583-438226,South Fork Salmon,2012,Rotating Panel 2,11,589927,5013532,Data Approved,Released to Public
738,OJD03458-000052,John Day,2012,Rotating Panel 2,11,379141,4967126,Data Approved,Released to Public
747,OJD03458-000529,John Day,2012,Annual,11,385416,4976873,Data Approved,Released to Public
797,CBW05583-487322,Upper Grande Ronde,2012,Rotating Panel 2,11,407504,5016354,Data Approved,Released to Public
806,CBW05583-030730,John Day,2012,Rotating Panel 2,11,352277,4942707,Data Approved,Released to Public
820,CBW05583-232818,John Day,2012,Rotating Panel 2,11,317351,4904023,Data Approved,Released to Public
85,CBW05583-199103,Upper Grande Ronde,2011,Rotating Panel 1,11,420223,5055877,Data Approved,Released to Public
895,CBW05583-502443,Entiat,2012,Rotating Panel 2,10,690215,5296362,Data Approved,Released to Public
916,CBW05583-026031,Lemhi,2012,Annual,12,292701,4971582,Data Approved,Released to Public
920,CBW05583-170447,Lemhi,2012,Rotating Panel 2,12,309823,4942788,Data Approved,Released to Public
937,PIB00001-2286_3769,Region 17,2012,Annual,11,504737,4948586,Data Approved,Released to Public
